pos0,pos1,neg0,neg1
an impeccable study in perversity .,what's infuriating about full frontal is that it's too close to real life to make sense . what's invigorating about it is that it doesn't give a damn .,"things really get weird , though not particularly scary : the movie is all portent and no content .","the sum of all fears is remarkably fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) ."
australia : land beyond time is an enjoyable big movie primarily because australia is a weirdly beautiful place .,. . . a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs . it is an unstinting look at a collaboration between damaged people that may or may not qual,"whereas the extremely competent hitman films such as pulp fiction and get shorty resonate a sardonic verve to their caustic purpose for existing , who is cletis tout ? is an inexpressible and drab wannabe looking for that exact niche .","guys say mean things and shoot a lot of bullets . some of the characters die and others don't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares ."
"for his first attempt at film noir , spielberg presents a fascinating but flawed look at the near future .","what full frontal lacks in thematic coherence it largely makes up for as loosey-goosey , experimental entertainment . still , i'm not quite sure what the point is","it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",the director's twitchy sketchbook style and adroit perspective shifts grow wearisome amid leaden pacing and indifferent craftsmanship ( most notably wretched sound design ) .
beautifully produced .,a refreshing change from the usual whoopee-cushion effort aimed at the youth market .,forget the psychology 101 study of romantic obsession and just watch the procession of costumes in castles and this won't seem like such a bore .,"a fast-paced , glitzy but extremely silly piece ."
"there's . . . tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .",steers refreshingly clear of the usual cliches .,"soderbergh seems capable only of delivering artfully lighted , earnest inquiries that lack the kind of genuine depth that would make them redeemable .",suffers from over-familiarity since hit-hungry british filmmakers have strip-mined the monty formula mercilessly since 1997 .
not since tom cruise in risky business has an actor made such a strong impression in his underwear .,clooney directs this film always keeping the balance between the fantastic and the believable . . .,"the makers have forsaken the entertaining elements of the original and , instead , rehash old jokes and leave any life at the doorstep . i like frank the pug , though .",a low-rent retread of the alien pictures .
"good , solid storytelling .","an offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays .","it virtually defines a comedy that's strongly mediocre , with funny bits surfacing every once in a while .","this one is definitely one to skip , even for horror movie fanatics ."
the movie does a good job of laying out some of the major issues that we encounter as we journey through life .,there's just something about watching a squad of psychopathic underdogs whale the tar out of unsuspecting lawmen that reaches across time and distance .,"twenty years later , reggio still knows how to make a point with poetic imagery , but his ability to startle has been stifled by the very prevalence of the fast-forward technology that he so stringently takes to task .",the verdict : two bodies and hardly a laugh between them .
"ultimately , it ponders the reasons we need stories so much .","we've seen it all before in one form or another , but director hoffman , with great help from kevin kline , makes us care about this latest reincarnation of the world's greatest teacher .",a clichéd and shallow cautionary tale about the hard-partying lives of gay men .,to be oblivious to the existence of this film would be very sweet indeed .
"this rush to profits has created a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you hadn't seen , which , in this day and age , is of course the point .",noyce films it more as a shocking history lesson than as drama .,hit and miss as far as the comedy goes and a big ole' miss in the way of story .,"the smug , oily demeanor that donovan adopts throughout the stupidly named pipe dream is just repulsive ."
there are just enough twists in the tale to make it far more satisfying than almost any horror film in recent memory .,an impeccable study in perversity .,"[less a movie than] an appalling , odoriferous thing . . . so rotten in almost every single facet of production that you'll want to crawl up your own * * * in embarrassment .",interesting and thoroughly unfaithful version of carmen
another trumpet blast that there may be a new mexican cinema a-bornin' .,either a fascinating study of the relationship between mothers and their children or a disturbing story about sociopaths and their marks .,"all in all , there's only one thing to root for : expulsion for everyone .","it's played in the most straight-faced fashion , with little humor to lighten things up . the heavy-handed film is almost laughable as a consequence ."
sits uneasily as a horror picture . . . but finds surprising depth in its look at the binds of a small family .,"this english-language version . . . does full honor to miyazaki's teeming and often unsettling landscape , and to the conflicted complexity of his characters .",nothing more than an amiable but unfocused bagatelle that plays like a loosely-connected string of acting-workshop exercises .,control-alt-delete simone as quickly as possible
a mildly enjoyable if toothless adaptation of a much better book .,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .","the movie is as far as you can get from racy , to the point where it almost stops the blood flow to your brain ; it has a dull , costumey feel .","sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos ."
"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .","makes s&m seem very romantic , and maggie gyllenhaal is a delight .","with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .",your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .
the quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by rachel griffiths .,"if this movie were a book , it would be a page-turner , you can't wait to see what happens next .","i've always dreamed of attending cannes , but after seeing this film , it's not that big a deal .",the movie quickly drags on becoming boring and predictable . i tried to read the time on my watch .
"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",meyjes' provocative film might be called an example of the haphazardness of evil .,""" an entire film about researchers quietly reading dusty old letters . """,this kiddie-oriented stinker is so bad that i even caught the gum stuck under my seat trying to sneak out of the theater
"although some viewers will not be able to stomach so much tongue-in-cheek weirdness , those who do will have found a cult favorite to enjoy for a lifetime .","compelling as it is exotic , fast runner has a plot that rivals shakespeare for intrigue , treachery and murder .","too slow for a younger crowd , too shallow for an older one .",the most repugnant adaptation of a classic text since roland joffé and demi moore's the scarlet letter .
"so young , so smart , such talent , such a wise * * * .","with each of her three protagonists , miller eloquently captures the moment when a woman's life , out of a deep-seated , emotional need , is about to turn onto a different path .","directed by kevin bray , whose crisp framing , edgy camera work , and wholesale ineptitude with acting , tone and pace very obviously mark him as a video helmer making his feature debut .","supposedly , pokemon can't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over ."
'like a child with an important message to tell . . . [skins'] faults are easy to forgive because the intentions are lofty . ',"methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain .",[crystal and de niro] manage to squeeze out some good laughs but not enough to make this silly con job sing .,"without a strong script and energetic acting , dogma films can produce the same sleep-inducing effects as watching your neighbor's home videos ."
"a stylish but steady , and ultimately very satisfying , piece of character-driven storytelling .","this new time machine is hardly perfect yet it proves surprisingly serviceable . even at its worst , it's not half-bad .",'unfaithful' cheats on itself and retreats to comfortable territory . too bad .,feels like a cold old man going through the motions .
"spectacularly beautiful , not to mention mysterious , sensual , emotionally intense , and replete with virtuoso throat-singing .",the dragons are the real stars of reign of fire and you won't be disappointed .,"stinks from start to finish , like a wet burlap sack of gloom .","despite an impressive roster of stars and direction from kathryn bigelow , the weight of water is oppressively heavy ."
"leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago .",""" the turntable is now outselling the electric guitar . . . ""","i'm afraid you won't get through this frankly fantastical by-the-numbers b-flick with just a suspension of disbelief . rather , you'll have to wrestle disbelief to the ground and then apply the chloroform-soaked handkerchief .","it's slow -- very , very slow . it's not the ultimate depression-era gangster movie . that's pure pr hype ."
"i can't say that i liked homeboy ; it'd be more accurate to say that i found it intriguing , bizarre , dogma-like in spots - and quite truthful , in its way .","'no es la mejor cinta de la serie , ni la mejor con brosnan a la cabeza , pero de que entretiene ni duda cabe . '","things really get weird , though not particularly scary : the movie is all portent and no content .","in both the writing and cutting , it does not achieve the kind of dramatic unity that transports you . you end up simply admiring this bit or that , this performance or that ."
"it's an interesting effort ( particularly for jfk conspiracy nuts ) , and barry's cold-fish act makes the experience worthwhile .","the re-release of ron howard's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .",the elements were all there but lack of a pyschological center knocks it flat .,"this 72-minute film does have some exciting scenes , but it's a tad slow ."
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,"funny in a sick , twisted sort of way .",impostor is a step down for director gary fleder .,. . . a cinematic disaster so inadvertently sidesplitting it's worth the price of admission for the ridicule factor alone .
"filled with alexandre desplat's haunting and sublime music , the movie completely transfixes the audience .",girls gone wild and gone civil again,"the problem is the needlessly poor quality of its archival prints and film footage . the images lack contrast , are murky and are frequently too dark to be decipherable .",sometimes seems less like storytelling than something the otherwise compelling director needed to get off his chest .
"frailty isn't as gory or explicit . but in its child-centered , claustrophobic context , it can be just as frightening and disturbing -- even punishing .","though this film can be clumsy , its ambitions are equally -- and admirably -- uncommercial .","in between the icy stunts , the actors spout hilarious dialogue about following your dream and 'just letting the mountain tell you what to do . '",tries to work in the same vein as the brilliance of animal house but instead comes closer to the failure of the third revenge of the nerds sequel .
"this is the kind of movie that used to be right at home at the saturday matinee , and it still is .",i hope the movie is widely seen and debated with appropriate ferocity and thoughtfulness .,"a clutchy , indulgent and pretentious travelogue and diatribe against . . . well , just stuff . watching scarlet diva , one is poised for titillation , raw insight or both . instead , we just get messy anger , a movie as personal therapy .",the movie makes absolutely no sense . its underlying mythology is a hodgepodge of inconsistencies that pose the question : since when did dumb entertainment have to be this dumb ?
"cantet beautifully illuminates what it means sometimes to be inside looking out , and at other times outside looking in .","from spiritual rebirth to bruising defeat , vincent's odyssey resonates in a profound way , comparable to the classic films of jean renoir .","in the second half of the film , frei's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis .","a few nonbelievers may rethink their attitudes when they see the joy the characters take in this creed , but skeptics aren't likely to enter the theater ."
"with three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it's enough to make you wish jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",feeling like a dope has rarely been more fun than it is in nine queens .,wait for pay per view or rental but don't dismiss barbershop out of hand .,it's just a little too self-satisfied .
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all .","feels less like it's about teenagers , than it was written by teenagers .",the latest adam sandler assault and possibly the worst film of the year .
nice piece of work .,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,calling this movie brainless would be paying it a compliment : it's more like entertainment for trolls .,new best friend's playboy-mansion presentation of college life is laugh-out-loud ludicrous .
"twenty years later , e . t . is still a cinematic touchstone .","the film is visually dazzling , the depicted events dramatic , funny and poignant .",the movie bounces all over the map .,"in its chicken heart , crush goes to absurd lengths to duck the very issues it raises ."
an unexpectedly sweet story of sisterhood .,an uneven but intriguing drama that is part homage and part remake of the italian masterpiece .,just an average comedic dateflick but not a waste of time .,so few movies explore religion that it's disappointing to see one reduce it to an idea that fits in a sampler .
"funny in a sick , twisted sort of way .","it's a piece of handiwork that shows its indie tatters and self-conscious seams in places , but has some quietly moving moments and an intelligent subtlety .","the movie , while beautiful , feels labored , with a hint of the writing exercise about it .","like showgirls and glitter , the most entertaining moments here are unintentional ."
[howard] so good as leon barlow . . . that he hardly seems to be acting .,"on the surface a silly comedy , scotland , pa would be forgettable if it weren't such a clever adaptation of the bard's tragic play .","a sensual performance from abbass buoys the flimsy story , but her inner journey is largely unexplored and we're left wondering about this exotic-looking woman whose emotional depths are only hinted at .","lame , haphazard teen comedy ."
"generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .","it isn't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .","most of the supporting characters in eastwood films are weak , as are most of the subplots . this one's weaker than most .",fluffy neo-noir hiding behind cutesy film references .
"perhaps it's cliche to call the film 'refreshing , ' but it is . 'drumline' shows a level of young , black manhood that is funny , touching , smart and complicated .","a pleasant , if forgettable , romp of a film .",mindless yet impressively lean spinoff of last summer's bloated effects fest the mummy returns .,hip-hop rarely comes alive as its own fire-breathing entity in this picture .
marvelously entertaining and deliriously joyous documentary .,"this one is not nearly as dreadful as expected . in fact , it's quite fun in places .","a loud , witless mess that has none of the charm and little of the intrigue from the tv series .",alarms for duvall's throbbing sincerity and his elderly propensity for patting people while he talks .
"for movie lovers as well as opera lovers , tosca is a real treat .",a remarkable 179-minute meditation on the nature of revolution .,. . . liotta is put in an impossible spot because his character's deceptions ultimately undo him and the believability of the entire scenario . too bad .,"a pale xerox of other , better crime movies ."
"there is no substitute for on-screen chemistry , and when friel pulls the strings that make williams sink into melancholia , the reaction in williams is as visceral as a gut punch .",an unorthodox little film noir organized crime story that includes one of the strangest love stories you will ever see .,"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",this formulaic chiller will do little to boost stallone's career .
the movie sticks much closer to hornby's drop-dead confessional tone than the film version of high fidelity did .,hands down the year's most thought-provoking film . but it pays a price for its intricate intellectual gamesmanship .,"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star .",every sequel you skip will be two hours gained . consider this review life-affirming .
os problemas têm início a partir do momento em que saímos do cinema e começamos a pensar sobre o que acabamos de ver . É então que sinais realmente desaponta .,"'charly' will divide its audience in two separate groups , those reaching for more tissues and those begging for mercy . . .","several of steven soderbergh's earlier films were hailed as the works of an artist . sadly , full frontal plays like the work of a dilettante .","if it's another regurgitated action movie you're after , there's no better film than half past dead ."
sparse but oddly compelling .,"funny , sexy , devastating and incurably romantic .","though it pretends to expose the life of male hustlers , it's exploitive without being insightful .","in the era of the sopranos , it feels painfully redundant and inauthentic ."
there is no denying the power of polanski's film . . .,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight .,"it may be an easy swipe to take , but this barbershop just doesn't make the cut .","though it draws several decent laughs , it's low-cal woody at best ."
"halloween : resurrection isn't exactly quality cinema , but it isn't nearly as terrible as it cold have been .",allen's underestimated charm delivers more goodies than lumps of coal .,"if the title is a jeopardy question , then the answer might be "" how does steven seagal come across these days ? "" or maybe "" how will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ?","an infuriating film . just when you think you are making sense of it , something happens that tells you there is no sense ."
"though it's equally solipsistic in tone , the movie has enough vitality to justify the notion of creating a screen adaptation of evans' saga of hollywood excess .","while the path may be familiar , first-time director denzel washington and a top-notch cast manage to keep things interesting .","as elegantly crafted as it often is , anderson's movie is essentially a one-trick pony that , hampered by an undeveloped script , ultimately pulls up lame .",you can thank me for this . i saw juwanna mann so you don't have to .
ultimately engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese 'cultural revolution . ',"a timely look back at civil disobedience , anti-war movements and the power of strong voices .","when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while .","visually rather stunning , but ultimately a handsome-looking bore , the true creativity would have been to hide treasure planet entirely and completely reimagine it ."
a charmer from belgium .,you don't have to be an especially tough grader to give a charitable b-minus to the emperor's club .,"just like hearst's enormous yacht , it's slow and unwieldy and takes a long time to reach its destination .",strictly a 'guy's film' in the worst sense of the expression .
"a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .",what makes the movie a comedy is the way it avoids the more serious emotions involved .,"[director] o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short .","a boring , pretentious muddle that uses a sensational , real-life 19th-century crime as a metaphor for -- well , i'm not exactly sure what -- and has all the dramatic weight of a raindrop ."
"disappointingly , the characters are too strange and dysfunctional , tom included , to ever get under the skin , but this is compensated in large part by the off-the-wall dialogue , visual playfulness and the outlandishness of the idea itself .","for the most part , it works beautifully as a movie without sacrificing the integrity of the opera .",brosnan's finest non-bondish performance yet fails to overcome the film's manipulative sentimentality and annoying stereotypes .,"too often , the viewer isn't reacting to humor so much as they are wincing back in repugnance ."
a very charming and funny movie .,"like the original , this version is raised a few notches above kiddie fantasy pablum by allen's astringent wit .","sinks so low in a poorly played game of absurd plot twists , idiotic court maneuvers and stupid characters that even freeman can't save it .",". . . the good and different idea [of middle-aged romance] is not handled well and , except for the fine star performances , there is little else to recommend "" never again . """
"this charming but slight tale has warmth , wit and interesting characters compassionately portrayed .",exudes the fizz of a busby berkeley musical and the visceral excitement of a sports extravaganza .,"director jay russell stomps in hobnail boots over natalie babbitt's gentle , endearing 1975 children's novel .","boll uses a lot of quick cutting and blurry step-printing to goose things up , but dopey dialogue and sometimes inadequate performances kill the effect ."
"post 9/11 the philosophical message of "" personal freedom first "" might not be as palatable as intended .",i had more fun watching spy than i had with most of the big summer movies .,this goofy gangster yarn never really elevates itself from being yet another earnestly generic crime-busting comic vehicle -- a well-intentioned remake that shows some spunk and promise but fails to register as anything distinctive or daring,"the two leads are almost good enough to camouflage the dopey plot , but so much naturalistic small talk , delivered in almost muffled exchanges , eventually has a lulling effect ."
"jackson tries to keep the plates spinning as best he can , but all the bouncing back and forth can't help but become a bit tedious -- even with the breathtaking landscapes and villainous varmints there to distract you from the ricocheting .","a quiet , disquieting triumph .","a boring , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 screaming from the theater .",these people wouldn't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance .
"hilarious , touching and wonderfully dyspeptic .",an infinitely wittier version of the home alone formula .,what might have been acceptable on the printed page of iles' book does not translate well to the screen .,"whereas the extremely competent hitman films such as pulp fiction and get shorty resonate a sardonic verve to their caustic purpose for existing , who is cletis tout ? is an inexpressible and drab wannabe looking for that exact niche ."
the moral shrapnel and mental shellshock will linger long after this film has ended .,a beguiling evocation of the quality that keeps dickens evergreen : the exuberant openness with which he expresses our most basic emotions .,will anyone who isn't a fangoria subscriber be excited that it hasn't gone straight to video ?,the cumulative effect of the movie is repulsive and depressing .
sayles has an eye for the ways people of different ethnicities talk to and about others outside the group .,"an extremely funny , ultimately heartbreaking look at life in contemporary china .",it's obvious [je-gyu is] trying for poetry ; what he gets instead has all the lyricism of a limerick scrawled in a public restroom .,it's difficult to say whether the tuxedo is more boring or embarrassing--i'm prepared to call it a draw .
highly recommended as an engrossing story about a horrifying historical event and the elements which contributed to it .,"uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .","suffers from rambling , repetitive dialogue and the visual drabness endemic to digital video .","walter hill's pulpy , stylized boxing melodrama undisputed nearly overcomes its questionable in-the-ring match-up with solid fight choreography and gritty prison authenticity ."
"it may not be history  but then again , what if it is ?  but it makes for one of the most purely enjoyable and satisfying evenings at the movies i've had in a while .",greengrass ( working from don mullan's script ) forgoes the larger socio-political picture of the situation in northern ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation .,"fails as a dystopian movie , as a retooling of fahrenheit 451 , and even as a rip-off of the matrix .",the movie's blatant derivativeness is one reason it's so lackluster .
the beautifully choreographed kitchen ballet is simple but absorbing .,"a mix of gritty realism , crisp storytelling and radiant compassion that effortlessly draws you in .","with danilo donati's witty designs and dante spinotti's luscious cinematography , this might have made a decent children's movie -- if only benigni hadn't insisted on casting himself in the title role .",sacrifices the value of its wealth of archival foot-age with its less-than-objective stance .
a great comedy filmmaker knows great comedy needn't always make us laugh . tim story's not there yet - but 'barbershop' shows he's on his way .,"more concerned with overall feelings , broader ideas , and open-ended questions than concrete story and definitive answers , soderbergh's solaris is a gorgeous and deceptively minimalist cinematic tone poem .","it's badly acted , blandly directed , and could have been scripted by someone who just graduated from elementary school .",stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .
meyjes' provocative film might be called an example of the haphazardness of evil .,a riveting documentary .,the truth is that the truth about charlie gets increasingly tiresome .,eight legged freaks ? no big hairy deal .
"looking aristocratic , luminous yet careworn in jane hamilton's exemplary costumes , rampling gives a performance that could not be improved upon .","the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen's romantic comedies so pertinent and enduring .","sandra bullock , despite downplaying her good looks , carries a little too much ain't- she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .","soderbergh seems capable only of delivering artfully lighted , earnest inquiries that lack the kind of genuine depth that would make them redeemable ."
"this new time machine is hardly perfect yet it proves surprisingly serviceable . even at its worst , it's not half-bad .","although made on a shoestring and unevenly acted , conjures a lynch-like vision of the rotting underbelly of middle america .",all the necessary exposition prevents the picture from rising above your generic sand 'n' sandal adventure .,the movie is obviously a labour of love so howard appears to have had free rein to be as pretentious as he wanted .
forgettable horror -- more gory than psychological -- with a highly satisfying quotient of friday-night excitement and milla power .,what bubbles up out of john c . walsh's pipe dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch .,"it's harmless , diverting fluff . but it's hard to imagine a more generic effort in the genre .",it's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay .
"muccino seems to be exploring the idea of why human beings long for what they don't have , and how this gets us in trouble . but even while his characters are acting horribly , he is always sympathetic .",a terrifically entertaining specimen of spielbergian sci-fi .,tiresomely derivative and hammily acted .,". . . may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence . this scarlet's letter is a . . . as in aimless , arduous , and arbitrary ."
that old adage about women being unknowable gets an exhilarating new interpretation in morvern callar .,"one of the finest , most humane and important holocaust movies ever made .",i felt trapped and with no obvious escape for the entire 100 minutes .,a bit of an unwieldy mess .
"there are laughs aplenty , and , as a bonus , viewers don't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies .","it's definitely an improvement on the first blade , since it doesn't take itself so deadly seriously .","slow , dry , poorly cast , but beautifully shot .",a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) .
"what saves it . . . and makes it one of the better video-game-based flicks , is that the film acknowledges upfront that the plot makes no sense , such that the lack of linearity is the point of emotional and moral departure for protagonist alice .","while it regards 1967 as the key turning point of the 20th century , and returns again and again to images of dissidents in the streets , it's alarmingly current .",the film is a travesty of the genre and even as spoof takes itself too seriously .,"the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle's walker and toss it at the screen in frustration ."
"thanks to a small star with big heart , this family film sequel is plenty of fun for all .",a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her .,"no such thing is sort of a minimalist beauty and the beast , but in this case the beast should definitely get top billing . robert john burke as the monster horns in and steals the show .","this is no "" waterboy ! """
"an often watchable , though goofy and lurid , blast of a costume drama set in the late 15th century .","that storytelling has value cannot be denied . not even solondz's thirst for controversy , sketchy characters and immature provocations can fully succeed at cheapening it .",the picture is a primer on what happens when lack of know-how mixes with lack of give-a-damn .,"nelson's brutally unsentimental approach . . . sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle ."
"the film belongs to the marvelous verdu , a sexy slip of an earth mother who mourns her tragedies in private and embraces life in public",it asks nothing of the audience other than to sit back and enjoy a couple of great actors hamming it up .,what happened with pluto nash ? how did it ever get made ?,"it's a boring movie about a boring man , made watchable by a bravura performance from a consummate actor incapable of being boring ."
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,it is so refreshing to see robin williams turn 180 degrees from the string of insultingly innocuous and sappy fiascoes he's been making for the last several years .,a predictable and stereotypical little b-movie .,control-alt-delete simone as quickly as possible
"kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor .",it's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .,"seemingly a vehicle to showcase the canadian's inane ramblings , stealing harvard is a smorgasbord of soliloquies about nothing delivered by the former mr . drew barrymore .","instead of panoramic sweep , kapur gives us episodic choppiness , undermining the story's emotional thrust ."
"overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .",the best animated feature to hit theaters since beauty and the beast 11 years ago .,earnest but heavy-handed .,". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee ."
"nair's attention to detail creates an impeccable sense of place , while thurman and lewis give what can easily be considered career-best performances .","waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .","told in scattered fashion , the movie only intermittently lives up to the stories and faces and music of the men who are its subject .","every visual joke is milked , every set-up obvious and lengthy , every punchline predictable . there's no energy ."
"offers big , fat , dumb laughs that may make you hate yourself for giving in . ah , what the hell .","whatever one makes of its political edge , this is beautiful filmmaking from one of french cinema's master craftsmen .",an inelegant combination of two unrelated shorts that falls far short of the director's previous work in terms of both thematic content and narrative strength .,the good thing -- the only good thing -- about extreme ops is that it's so inane that it gave me plenty of time to ponder my thanksgiving to-do list .
"smith profiles five extraordinary american homes , and because the owners seem fully aware of the uses and abuses of fame , it's a pleasure to enjoy their eccentricities .",a remarkable 179-minute meditation on the nature of revolution .,a glossy knock-off of a b-movie revenge flick .,"there are some laughs in this movie , but williams' anarchy gets tiresome , the satire is weak ."
a thoughtful look at a painful incident that made headlines in 1995 .,"often messy and frustrating , but very pleasing at its best moments , it's very much like life itself .",rodriguez . . . was unable to reproduce the special spark between the characters that made the first film such a delight .,"truth to tell , if you've seen more than half-a-dozen horror films , there's nothing here you haven't seen before ."
a perfectly pleasant if slightly pokey comedy .,"an uncomfortable movie , suffocating and sometimes almost senseless , the grey zone does have a center , though a morbid one .",as happily glib and vicious as its characters .,looks awfully like one long tourist spot for a mississippi that may never have existed outside of a scriptwriter's imagination .
"it all plays out . . . like a high-end john hughes comedy , a kind of elder bueller's time out .",a solidly seaworthy chiller .,"contains all the substance of a twinkie -- easy to swallow , but scarcely nourishing .",the movie is about as humorous as watching your favorite pet get buried alive .
"a provocative movie about loss , anger , greed , jealousy , sickness and love .","pipe dream does have its charms . the leads are natural and lovely , the pace is serene , the humor wry and sprightly .","portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama .",the sweetest thing leaves an awful sour taste .
it's fairly self-aware in its dumbness .,a riveting story well told .,boyd's screenplay ( co-written with guardian hack nick davies ) has a florid turn of phrase that owes more to guy ritchie than the bard of avon .,has all the poignancy of a hallmark card and all the comedy of a gallagher stand-up act .
"pretty darn good , despite its smarty-pants aura .",toes the fine line between cheese and earnestness remarkably well ; everything is delivered with such conviction that it's hard not to be carried away .,"tartakovsky's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .","sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation ."
"most consumers of lo mein and general tso's chicken barely give a thought to the folks who prepare and deliver it , so , hopefully , this film will attach a human face to all those little steaming cartons .","as gory as the scenes of torture and self-mutilation may be , they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an asian landscape painting .","this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the question 'why ? '","delivers the same old same old , tarted up with latin flava and turned out by hollywood playas ."
visually captivating .,some may choose to interpret the film's end as hopeful or optimistic but i think payne is after something darker .,godard's ode to tackling life's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess . . . in praise of love remains a ponderous and pretentious endeavor that's unfocused and tediously exasperating .,"everybody loves a david and goliath story , and this one is told almost entirely from david's point of view ."
"nervy and sensitive , it taps into genuine artistic befuddlement , and at the same time presents a scathing indictment of what drives hollywood .",a very funny romantic comedy about two skittish new york middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . .",reeks of rot and hack work from start to finish .
the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,manages to please its intended audience -- children -- without placing their parents in a coma-like state .,no amount of nostalgia for carvey's glory days can disguise the fact that the new film is a lame kiddie flick and that carvey's considerable talents are wasted in it .,"there are plenty of scenes in frida that do work , but rarely do they involve the title character herself ."
